Date,Benzene,CS2,Ozone,SO2,Toluene,Xylene,Wind Direction,Wind Speed,Wind Origin
8/1/15 15:40,2.5,2.5,18.86,2.5,2.5,2.5,191,9,S
8/1/15 15:45,2.5,2.5,19.4,2.5,2.5,2.5,186,8,S
8/1/15 15:50,2.5,2.5,20.41,2.5,2.5,2.5,195,9,SSW
8/1/15 15:55,2.5,2.5,20.26,2.5,2.5,2.5,191,8,S
8/1/15 16:00,2.5,2.5,22.5,2.5,2.5,2.5,201,11,SSW
8/1/15 16:05,2.5,2.5,21.92,2.5,2.5,2.5,192,9,SSW
8/1/15 16:10,2.5,2.5,21.92,2.5,2.5,2.5,195,9,SSW
8/1/15 16:15,2.5,2.5,24.11,2.5,2.5,2.5,205,11,SSW
8/1/15 16:20,2.5,2.5,22.08,2.5,2.5,2.5,194,10,SSW
8/1/15 16:25,2.5,2.5,21.19,2.5,2.5,2.5,193,10,SSW
8/1/15 16:30,2.5,2.5,17.67,2.5,2.5,2.5,188,10,S
8/1/15 16:35,2.5,2.5,18.12,2.5,2.5,2.5,185,10,S
8/1/15 16:40,2.5,2.5,18.22,2.5,2.5,2.5,185,11,S
8/1/15 16:45,2.5,2.5,19.44,2.5,2.5,2.5,191,10,S
8/1/15 16:50,2.5,2.5,18.04,2.5,2.5,2.5,192,9,SSW
8/1/15 16:55,2.5,2.5,18.02,2.5,2.5,2.5,204,9,SSW
8/1/15 17:00,2.5,2.5,18.62,2.5,2.5,2.5,196,10,SSW
8/1/15 17:05,2.5,2.5,16.71,2.5,2.5,2.5,193,10,SSW
8/1/15 17:10,2.5,2.5,16.22,2.5,2.5,2.5,193,10,SSW
8/1/15 17:15,2.5,2.5,17.15,2.5,2.5,2.5,195,9,SSW
8/1/15 17:20,2.5,2.5,19.66,2.5,2.5,2.5,189,9,S
8/1/15 17:25,2.5,2.5,19.09,2.5,2.5,2.5,194,9,SSW
8/1/15 17:30,2.5,2.5,18.52,2.5,2.5,2.5,186,10,S
8/1/15 17:35,2.5,2.5,18.54,2.5,2.5,2.5,189,9,S
8/1/15 17:40,2.5,2.5,18.35,2.5,2.5,2.5,188,9,S
8/1/15 17:45,2.5,2.5,19.74,2.5,2.5,2.5,202,11,SSW
8/1/15 17:50,2.5,2.5,21.89,2.5,2.5,2.5,202,12,SSW
8/1/15 17:55,2.5,2.5,22.03,2.5,2.5,2.5,206,12,SSW
8/1/15 18:00,2.5,2.5,24.37,2.5,2.5,2.5,202,11,SSW
8/1/15 18:05,2.5,2.5,23.21,2.5,2.5,2.5,207,10,SSW
8/1/15 18:10,2.5,2.5,21.35,2.5,2.5,2.5,217,8,SW
8/1/15 18:15,2.5,2.5,18.1,2.5,2.5,2.5,214,12,SSW
8/1/15 18:20,2.5,2.5,17.31,2.5,2.5,2.5,220,13,SW
8/1/15 18:25,2.5,2.5,16.21,2.5,2.5,2.5,209,11,SSW
